"","Timestamp","MachineName","Daemon","LogText"
"1","2013-03-18 16:12:33","c300-203","wall","wall: user gda broadcasted 1 lines (75 chars)"
"2","2013-03-19 20:20:12","c300-205","wall","wall: user tg804241 broadcasted 1 lines (80 chars)"
